row,red1,red2,red3,red4,red5,red6,red_sum_all,red_sum16,red_gap16,red_sum25,red_gap25,red_sum34,red_gap12,red_gap23,red_gap34,red_gap45,red_gap56
25_5,4,8,14,19,24,28,97,32,24,32,16,33,4,6,5,5,4
25_6,6,9,11,17,23,28,94,34,22,32,14,28,3,2,6,6,5
25_7,3,6,11,16,18,27,81,30,24,24,12,27,3,5,5,2,9
25_8,2,7,13,17,22,28,89,30,26,29,15,30,5,6,4,5,6
25_9,2,7,14,18,23,29,93,31,27,30,16,32,5,7,4,5,6
25_10,6,11,15,20,25,29,106,35,23,36,14,35,5,4,5,5,4
26_1,3,10,15,22,25,28,103,31,25,35,15,37,7,5,7,3,3
26_2,6,11,18,20,25,29,109,35,23,36,14,38,5,7,2,5,4
26_3,3,6,11,15,20,25,80,28,22,26,14,26,3,5,4,5,5
26_4,3,8,12,18,23,27,91,30,24,31,15,30,5,4,6,5,4
26_5,4,8,13,19,24,28,96,32,24,32,16,32,4,5,6,5,4
26_6,4,8,9,12,21,28,82,32,24,29,13,21,4,1,3,9,7
26_7,3,7,9,12,18,29,78,32,26,25,11,21,4,2,3,6,11
26_8,2,7,11,13,17,28,78,30,26,24,10,24,5,4,2,4,11
26_9,2,7,12,12,17,27,77,29,25,24,10,24,5,5,0,5,10
26_10,4,11,13,16,25,28,97,32,24,36,14,29,7,2,3,9,3
27_1,3,7,14,17,24,28,93,31,25,31,17,31,4,7,3,7,4
27_2,5,8,16,18,26,28,101,33,23,34,18,34,3,8,2,8,2
27_3,3,6,12,18,22,26,87,29,23,28,16,30,3,6,6,4,4
27_4,3,8,12,18,23,27,91,30,24,31,15,30,5,4,6,5,4
27_5,4,8,14,19,24,29,98,33,25,32,16,33,4,6,5,5,5
27_6,2,9,12,15,23,28,89,30,26,32,14,27,7,3,3,8,5
27_7,1,8,9,15,20,26,79,27,25,28,12,24,7,1,6,5,6
27_8,1,9,14,20,21,27,92,28,26,30,12,34,8,5,6,1,6
27_9,2,8,11,17,23,25,86,27,23,31,15,28,6,3,6,6,2
27_10,5,11,14,19,24,29,102,34,24,35,13,33,6,3,5,5,5
28_1,4,10,14,18,26,29,101,33,25,36,16,32,6,4,4,8,3
28_2,8,11,18,21,27,29,114,37,21,38,16,39,3,7,3,6,2
28_3,4,6,13,17,20,26,86,30,22,26,14,30,2,7,4,3,6
28_4,3,8,12,17,22,27,89,30,24,30,14,29,5,4,5,5,5
28_5,4,8,14,19,24,28,97,32,24,32,16,33,4,6,5,5,4
28_6,4,8,10,9,20,24,75,28,20,28,12,19,4,2,-1,11,4
28_7,3,7,10,11,19,22,72,25,19,26,12,21,4,3,1,8,3
